Category|Descript
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
ASSAULT|THREATS AGAINST LIFE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|AGGRAVATED ASSAULT WITH A GUN
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
FRAUD|CREDIT CARD, THEFT BY USE OF
BURGLARY|BURGLARY, UNLAWFUL ENTRY
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
LARCENY/THEFT|PETTY THEFT WITH PRIOR
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|AIDED CASE
ROBBERY|ROBBERY ON THE STREET WITH A GUN
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
ARSON|ARSON
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
OTHER OFFENSES|FALSE REPORT OF CRIME
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
ROBBERY|ROBBERY ON THE STREET WITH A GUN
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
SECONDARY CODES|JUVENILE INVOLVED
ROBBERY|ROBBERY ON THE STREET, STRONGARM
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
KIDNAPPING|FALSE IMPRISONMENT
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
NON-CRIMINAL|CIVIL SIDEWALKS, CITATION
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
DRUG/NARCOTIC|POSSESSION OF HEROIN
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
DISORDERLY CONDUCT|MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
NON-CRIMINAL|FIRE REPORT
OTHER OFFENSES|PROBATION VIOLATION
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
MISSING PERSON|MISSING ADULT
VEHICLE THEFT|STOLEN AUTOMOBILE
WARRANTS|WARRANT ARREST
OTHER OFFENSES|CONSPIRACY
OTHER OFFENSES|PAROLE VIOLATION
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE FOR SALE
BURGLARY|BURGLARY OF STORE, FORCIBLE ENTRY
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, ATT. FORCIBLE
WARRANTS|ENROUTE TO PAROLE OFFICER
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
SUSPICIOUS OCC|SUSPICIOUS PERSON
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|RECKLESS DRIVING
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
OTHER OFFENSES|RESISTING ARREST
NON-CRIMINAL|CASE CLOSURE
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
DRUG/NARCOTIC|SALE OF CONTROLLED SUBSTANCE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
TRESPASS|TRESPASSING
NON-CRIMINAL|LOST PROPERTY
ASSAULT|BATTERY
BURGLARY|BURGLARY OF STORE, UNLAWFUL ENTRY
VEHICLE THEFT|STOLEN AUTOMOBILE
DISORDERLY CONDUCT|MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ROBBERY|ROBBERY ON THE STREET WITH A GUN
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
ASSAULT|INFLICT INJURY ON COHABITEE
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ROBBERY|ROBBERY, BODILY FORCE
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
FORGERY/COUNTERFEITING|CHECKS, FORGERY (FELONY)
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|GRAND THEFT PURSESNATCH
SECONDARY CODES|DOMESTIC VIOLENCE
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|PROPERTY FOR IDENTIFICATION
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ROBBERY|ROBBERY, BODILY FORCE
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
TRESPASS|TRESPASSING
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT FROM PERSON
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
OTHER OFFENSES|VIOLATION OF FEDERAL STATUTE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
VEHICLE THEFT|STOLEN AUTOMOBILE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
SUSPICIOUS OCC|UNUSUAL OCCURENCE
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
NON-CRIMINAL|AIDED CASE, INJURED PERSON
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|MISSING JUVENILE
DRUG/NARCOTIC|POSSESSION OF HEROIN FOR SALES
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT OF PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION
FORGERY/COUNTERFEITING|CHECKS, FORGERY (FELONY)
FRAUD|FALSE ID TO PEACE OFFICER
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
WARRANTS|WARRANT ARREST
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
ROBBERY|ATTEMPTED ROBBERY WITH BODILY FORCE
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE FOR SALE
ASSAULT|ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
DRUG/NARCOTIC|POSSESSION OF MARIJUANA FOR SALES
NON-CRIMINAL|LOST PROPERTY
ASSAULT|BATTERY
ASSAULT|ATTEMPTED HOMICIDE WITH BODILY FORCE
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
MISSING PERSON|MISSING JUVENILE
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
PROSTITUTION|SOLICITS TO VISIT HOUSE OF PROSTITUTION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
FRAUD|FALSE ID TO PEACE OFFICER
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|CONSPIRACY
ASSAULT|AGGRAVATED ASSAULT ON POLICE OFFICER WITH A GUN
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
VEHICLE THEFT|STOLEN AUTOMOBILE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
NON-CRIMINAL|FOUND PROPERTY
VEHICLE THEFT|STOLEN TRUCK
NON-CRIMINAL|LOST PROPERTY
ASSAULT|BATTERY
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
WARRANTS|ENROUTE TO PAROLE OFFICER
VEHICLE THEFT|STOLEN AUTOMOBILE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
NON-CRIMINAL|FOUND PROPERTY
ASSAULT|BATTERY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRUG/NARCOTIC|TRANSPORTATION OF METH-AMPHETAMINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
ASSAULT|INFLICT INJURY ON COHABITEE
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|PETTY THEFT WITH PRIOR
ROBBERY|ROBBERY ON THE STREET, STRONGARM
NON-CRIMINAL|FOUND PROPERTY
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
ASSAULT|BATTERY
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
MISSING PERSON|FOUND PERSON
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
NON-CRIMINAL|LOST PROPERTY
WARRANTS|WARRANT ARREST
OTHER OFFENSES|MISCELLANEOUS STATE MISDEMEANOR
LARCENY/THEFT|PETTY THEFT OF PROPERTY
VEHICLE THEFT|STOLEN AND RECOVERED VEHICLE
LARCENY/THEFT|GRAND THEFT FROM PERSON
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
LARCENY/THEFT|PETTY THEFT WITH PRIOR
ROBBERY|ROBBERY ON THE STREET, STRONGARM
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE FOR SALE
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT PICKPOCKET
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
NON-CRIMINAL|FOUND PROPERTY
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY, HOT PROWL, UNLAWFUL ENTRY
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|AIDED CASE
ROBBERY|ROBBERY, BODILY FORCE
LARCENY/THEFT|GRAND THEFT PICKPOCKET
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
NON-CRIMINAL|STAY AWAY OR COURT ORDER, NON-DV RELATED
DRUG/NARCOTIC|POSSESSION OF COCAINE FOR SALES
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
ROBBERY|ROBBERY, BODILY FORCE
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE FOR SALE
BURGLARY|BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY
BURGLARY|BURGLARY OF STORE, FORCIBLE ENTRY
OTHER OFFENSES|RESISTING ARREST
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
ROBBERY|ROBBERY, ARMED WITH A GUN
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
VEHICLE THEFT|STOLEN AUTOMOBILE
DRUG/NARCOTIC|POSSESSION OF HEROIN
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
OTHER OFFENSES|PROBATION VIOLATION
MISSING PERSON|MISSING JUVENILE
ASSAULT|BATTERY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
SECONDARY CODES|DOMESTIC VIOLENCE
BURGLARY|SAFE BURGLARY
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|GRAND THEFT BICYCLE
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
LARCENY/THEFT|GRAND THEFT OF PROPERTY
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|TRANSPORTATION OF MARIJUANA
FRAUD|CREDIT CARD, THEFT BY USE OF
SECONDARY CODES|DOMESTIC VIOLENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT WITH PRIOR
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
NON-CRIMINAL|AIDED CASE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
LARCENY/THEFT|GRAND THEFT OF PROPERTY
VEHICLE THEFT|STOLEN TRUCK
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ASSAULT|BATTERY
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
LARCENY/THEFT|GRAND THEFT FROM PERSON
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
ASSAULT|THREATS AGAINST LIFE
OTHER OFFENSES|TRAFFIC VIOLATION
ROBBERY|ROBBERY ON THE STREET, STRONGARM
NON-CRIMINAL|FOUND PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
OTHER OFFENSES|CONSPIRACY
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|FOUND PROPERTY
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
ASSAULT|THREATS AGAINST LIFE
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
FAMILY OFFENSES|MINOR WITHOUT PROPER PARENTAL CARE
OTHER OFFENSES|PERMIT VIOLATION, POLICE (GENERAL)
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN MOTORCYCLE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|TRAFFIC VIOLATION
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|GRAND THEFT FROM PERSON
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
TRESPASS|TRESPASSING
NON-CRIMINAL|FOUND PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SEX OFFENSES FORCIBLE|SODOMY (ADULT VICTIM)
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
SECONDARY CODES|DOMESTIC VIOLENCE
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
ASSAULT|ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
ASSAULT|BATTERY
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
TRESPASS|TRESPASSING
FRAUD|CREDIT CARD, THEFT BY USE OF
MISSING PERSON|FOUND PERSON
NON-CRIMINAL|LOST PROPERTY
ASSAULT|STALKING
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
OTHER OFFENSES|TRAFFIC VIOLATION
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
BURGLARY|BURGLARY OF FLAT, UNLAWFUL ENTRY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
FRAUD|CREDIT CARD, THEFT BY USE OF
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
NON-CRIMINAL|AIDED CASE
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|TAMPERING WITH A VEHICLE
ASSAULT|CHILD ABUSE (PHYSICAL)
LARCENY/THEFT|GRAND THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
MISSING PERSON|MISSING ADULT
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
VEHICLE THEFT|STOLEN MISCELLANEOUS VEHICLE
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
SECONDARY CODES|DOMESTIC VIOLENCE
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
WARRANTS|ENROUTE TO PAROLE OFFICER
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|FOUND PERSON
OTHER OFFENSES|HARASSING PHONE CALLS
FRAUD|AUDIOVISUAL (VIDEO OR SOUND) RECORDINGS, UNAUTHORIZED
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|LOST PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
BURGLARY|BURGLARY OF STORE, FORCIBLE ENTRY
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
WARRANTS|WARRANT ARREST
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|PROBATION SEARCH
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|PETTY THEFT WITH PRIOR
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
TRESPASS|TRESPASSING
ASSAULT|INFLICT INJURY ON COHABITEE
OTHER OFFENSES|TRAFFIC VIOLATION
DRUG/NARCOTIC|POSSESSION OF COCAINE
ROBBERY|ROBBERY, ARMED WITH A GUN
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
OTHER OFFENSES|PROBATION VIOLATION
FRAUD|FORGERY, CREDIT CARD
LARCENY/THEFT|GRAND THEFT PICKPOCKET
PROSTITUTION|SOLICITS TO VISIT HOUSE OF PROSTITUTION
ASSAULT|BATTERY
OTHER OFFENSES|VEHICLE, DISABLED PLACARD VIOLATION
OTHER OFFENSES|DRIVING, RECKLESS, WITH INJURY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|TRAFFIC VIOLATION
NON-CRIMINAL|CASE CLOSURE
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
BURGLARY|BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF STORE, FORCIBLE ENTRY
OTHER OFFENSES|OBSTRUCTIONS ON STREETS/SIDEWALKS
MISSING PERSON|FOUND PERSON
BURGLARY|BURGLARY, ATTEMPTED FORCIBLE ENTRY
VEHICLE THEFT|STOLEN TRUCK
PROSTITUTION|ENGAGING IN LEWD CONDUCT - PROSTITUTION RELATED
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
NON-CRIMINAL|CASE CLOSURE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
NON-CRIMINAL|LOST PROPERTY
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
LARCENY/THEFT|PETTY THEFT BICYCLE
NON-CRIMINAL|DEATH REPORT, NATURAL CAUSES
LARCENY/THEFT|GRAND THEFT FROM PERSON
LARCENY/THEFT|GRAND THEFT OF PROPERTY
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
OTHER OFFENSES|PROBATION VIOLATION
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
